
城市,纬度,经度
北京,39.9042,116.4074
上海,31.2304,121.4737
广州,23.1291,113.2644
深圳,22.5431,114.0579
成都,30.5728,104.0668
武汉,30.5928,114.3055
西安,34.3416,108.9402
南京,32.0603,118.7969
杭州,30.2741,120.1551
重庆,29.4316,106.9123
天津,39.1441,117.1908
苏州,31.2989,120.5853
长沙,28.2282,112.9388
郑州,34.7472,113.6253
沈阳,41.6772,123.4306
青岛,36.0671,120.3826
合肥,31.8206,117.2273
佛山,23.0215,113.1214
东莞,23.0207,113.7518
宁波,29.8683,121.5440
昆明,24.8801,102.8329
福州,26.0745,119.2965
无锡,31.4908,120.3119
厦门,24.4798,118.0894
济南,36.6512,117.1201
大连,38.9140,121.6147
哈尔滨,45.8038,126.5342
温州,27.9949,120.6994
石家庄,38.0428,114.5149
泉州,24.8741,118.6759
南宁,22.8169,108.3668
长春,43.8171,125.3235
南昌,28.6820,115.8579
贵阳,26.6477,106.6302
太原,37.8735,112.5428
嘉兴,30.8212,120.7555
金华,29.0781,119.6474
珠海,22.2707,113.5767
惠州,23.1112,114.4168
常州,31.8101,119.9745
南通,31.9798,120.8934
徐州,34.2044,117.2838
烟台,37.4638,121.4479
唐山,39.6309,118.1805
乌鲁木齐,43.8266,87.6168
兰州,36.0611,103.8343
呼和浩特,40.8175,111.6708
海口,20.0174,110.3308
银川,38.4666,106.2309
西宁,36.6232,101.7801
